emoji,emotion,hex,rgb,vibe,intensity
📘,thinking,#C8C8D4,"200,200,212",clean,5
🟥,anger,#E12B2B,"225,43,43",clean,2
⚡,surprise,#FFF4B0,"255,244,176",clean,5
😆,joy,#FFC94D,"255,201,77",soft,3
🎐,calm,#95E0E0,"149,224,224",deep,4
😿,sadness,#4A6FA5,"74,111,165",warm,3
😿,sadness,#4A6FA5,"74,111,165",mellow,5
😥,sadness,#7BA7D9,"123,167,217",deep,2
😠,anger,#B80000,"184,0,0",bright,5
😰,fear,#B7C8FF,"183,200,255",soft,1
🦟,disgust,#A8D27A,"168,210,122",warm,3
😾,anger,#E12B2B,"225,43,43",mellow,2
🪣,sadness,#A3C4E9,"163,196,233",mellow,1
🧟,fear,#B7C8FF,"183,200,255",mellow,1
💭,thinking,#B7BBC3,"183,187,195",deep,2
😮,surprise,#FFF48A,"255,244,138",earthy,2
🤬,anger,#B80000,"184,0,0",warm,2
📝,thinking,#B7BBC3,"183,187,195",warm,2
🪣,sadness,#4A6FA5,"74,111,165",warm,1
🪣,sadness,#5F84B8,"95,132,184",serious,4
🤬,anger,#D60000,"214,0,0",cold,4
🪣,sadness,#4A6FA5,"74,111,165",warm,5
🌿,calm,#A5E6E6,"165,230,230",soft,4
🔍,thinking,#B7BBC3,"183,187,195",bright,1
🗯️,anger,#E12B2B,"225,43,43",cold,5
💗,love,#FF7FBF,"255,127,191",mellow,3
🛏️,sleepy,#6B62A6,"107,98,166",clean,2
🎐,calm,#95E0E0,"149,224,224",deep,3
😌,calm,#7BCFCF,"123,207,207",clean,3
🤬,anger,#D60000,"214,0,0",mellow,2
😳,surprise,#FFFACD,"255,250,205",mellow,3
😃,joy,#FFCC00,"255,204,0",bright,3
😱,fear,#B7C8FF,"183,200,255",clean,2
😠,anger,#E12B2B,"225,43,43",soft,3
🌙,sleepy,#7C74B8,"124,116,184",warm,5
👻,fear,#B7C8FF,"183,200,255",deep,2
🦇,fear,#7DA7FF,"125,167,255",mellow,2
😲,surprise,#FFF4B0,"255,244,176",warm,3
🙂,joy,#FFCC00,"255,204,0",mellow,1
✨,surprise,#FFF4B0,"255,244,176",serious,4
😥,sadness,#4A6FA5,"74,111,165",deep,3
🤔,thinking,#D1D4DD,"209,212,221",deep,2
📚,thinking,#9CA1AA,"156,161,170",cold,4
🌙,sleepy,#7C74B8,"124,116,184",warm,5
💎,calm,#95E0E0,"149,224,224",warm,5
🕸️,fear,#9BB5FF,"155,181,255",warm,2
😍,love,#FF7FBF,"255,127,191",soft,3
🥱,sleepy,#6B62A6,"107,98,166",bright,1
💞,love,#FF7FBF,"255,127,191",mellow,1
💫,surprise,#FFFACD,"255,250,205",playful,2
👓,thinking,#9CA1AA,"156,161,170",cold,5
🌿,calm,#C9F4F4,"201,244,244",serious,5
🤧,disgust,#4A7D2D,"74,125,45",deep,3
😞,sadness,#A3C4E9,"163,196,233",soft,5
🥰,love,#FF4F88,"255,79,136",bright,5
😘,love,#FF7FBF,"255,127,191",serious,5
❤️,love,#FF7FBF,"255,127,191",earthy,4
💧,sadness,#4A6FA5,"74,111,165",earthy,4
😴,sleepy,#A59ED9,"165,158,217",cold,5
🫶,calm,#C9F4F4,"201,244,244",serious,1
💫,surprise,#FFF48A,"255,244,138",deep,1
💕,love,#FF6DAA,"255,109,170",soft,4
📘,thinking,#9CA1AA,"156,161,170",earthy,2
📢,surprise,#FFEB6E,"255,235,110",bright,3
🦠,disgust,#89B44C,"137,180,76",deep,3
😾,anger,#E12B2B,"225,43,43",mellow,3
🤔,thinking,#D1D4DD,"209,212,221",warm,5
🪰,disgust,#A8D27A,"168,210,122",clean,3
🫠,disgust,#4A7D2D,"74,125,45",earthy,5
🦠,disgust,#89B44C,"137,180,76",earthy,2
😳,surprise,#FFEB6E,"255,235,110",mellow,4
😨,fear,#7DA7FF,"125,167,255",earthy,2
🥱,sleepy,#7C74B8,"124,116,184",deep,1
💖,love,#FF4F88,"255,79,136",bright,1
💎,calm,#C9F4F4,"201,244,244",warm,5
😔,sadness,#5F84B8,"95,132,184",bright,1
🙂,joy,#FFDF57,"255,223,87",earthy,3
🪣,sadness,#A3C4E9,"163,196,233",cold,4
👿,anger,#D60000,"214,0,0",clean,1
🌊,calm,#95E0E0,"149,224,224",bright,3
😊,joy,#FFD438,"255,212,56",playful,2
😠,anger,#FF3D3D,"255,61,61",bright,2
💘,love,#FF7FBF,"255,127,191",serious,2
😱,fear,#C3C9FF,"195,201,255",deep,4
💖,love,#FF6DAA,"255,109,170",cold,4
🧘,calm,#95E0E0,"149,224,224",soft,3
😥,sadness,#A3C4E9,"163,196,233",earthy,2
😸,joy,#FFCC00,"255,204,0",earthy,3
💖,love,#FF6DAA,"255,109,170",soft,2
😍,love,#FF4F88,"255,79,136",deep,4
👿,anger,#E12B2B,"225,43,43",serious,3
📢,surprise,#FFF48A,"255,244,138",soft,4
🤯,surprise,#FFF48A,"255,244,138",deep,1
😰,fear,#B7C8FF,"183,200,255",cold,5
😲,surprise,#FFF4B0,"255,244,176",mellow,2
😍,love,#FF7FBF,"255,127,191",soft,2
✏️,thinking,#D1D4DD,"209,212,221",mellow,1
📘,thinking,#B7BBC3,"183,187,195",earthy,2
😲,surprise,#FFF4B0,"255,244,176",warm,4
😰,fear,#C3C9FF,"195,201,255",serious,2
🌌,sleepy,#6B62A6,"107,98,166",warm,4
💤,sleepy,#A59ED9,"165,158,217",deep,5
😊,joy,#FFCC00,"255,204,0",soft,1
🍂,disgust,#A8D27A,"168,210,122",playful,5
😢,sadness,#4A6FA5,"74,111,165",soft,1
📚,thinking,#C8C8D4,"200,200,212",cold,2
😆,joy,#FFDF57,"255,223,87",serious,5
🪹,sleepy,#6B62A6,"107,98,166",warm,3
💗,love,#FF4F88,"255,79,136",soft,2
⚡,surprise,#FFF48A,"255,244,138",warm,5
🛌,sleepy,#7C74B8,"124,116,184",clean,3
🦟,disgust,#89B44C,"137,180,76",clean,5
🗯️,anger,#FF3D3D,"255,61,61",soft,3
💖,love,#FF6DAA,"255,109,170",mellow,5
😘,love,#FF4F88,"255,79,136",bright,2
🍂,disgust,#4A7D2D,"74,125,45",clean,2
🫠,disgust,#89B44C,"137,180,76",warm,3
😃,joy,#FFDF57,"255,223,87",playful,5
💕,love,#FF5C9A,"255,92,154",earthy,2
🧟,fear,#9BB5FF,"155,181,255",deep,3
🫶,calm,#7BCFCF,"123,207,207",deep,3
⚡,surprise,#FFFACD,"255,250,205",clean,1
✨,surprise,#FFEB6E,"255,235,110",mellow,2
😀,joy,#FFC94D,"255,201,77",clean,3
😃,joy,#FFDF57,"255,223,87",clean,1
🤍,calm,#C9F4F4,"201,244,244",playful,3
🤮,disgust,#A8D27A,"168,210,122",cold,1
🪣,sadness,#A3C4E9,"163,196,233",soft,2
📘,thinking,#D1D4DD,"209,212,221",serious,3
🌊,calm,#C9F4F4,"201,244,244",warm,1
✏️,thinking,#C8C8D4,"200,200,212",soft,5
🤢,disgust,#6A8F27,"106,143,39",playful,4
📢,surprise,#FFF48A,"255,244,138",bright,4
🦇,fear,#7DA7FF,"125,167,255",clean,4
💎,calm,#95E0E0,"149,224,224",clean,3
😴,sleepy,#6B62A6,"107,98,166",serious,5
💖,love,#FF4F88,"255,79,136",playful,3
😯,surprise,#FFEB6E,"255,235,110",warm,2
😿,sadness,#A3C4E9,"163,196,233",serious,5
😯,surprise,#FFEB6E,"255,235,110",soft,1
😞,sadness,#5F84B8,"95,132,184",bright,3
🤬,anger,#B80000,"184,0,0",earthy,4
🪣,sadness,#5F84B8,"95,132,184",playful,2
🛌,sleepy,#7C74B8,"124,116,184",earthy,1
💕,love,#FF5C9A,"255,92,154",serious,1
😥,sadness,#5F84B8,"95,132,184",earthy,3
🤮,disgust,#6A8F27,"106,143,39",soft,4
🌊,calm,#95E0E0,"149,224,224",mellow,1
💘,love,#FF7FBF,"255,127,191",serious,5
🦠,disgust,#4A7D2D,"74,125,45",deep,4
😢,sadness,#7BA7D9,"123,167,217",mellow,4
🪐,sleepy,#A59ED9,"165,158,217",playful,4
🪹,sleepy,#7C74B8,"124,116,184",warm,4
😰,fear,#9BB5FF,"155,181,255",serious,2
💖,love,#FF5C9A,"255,92,154",bright,1
🤧,disgust,#4A7D2D,"74,125,45",serious,2
🤮,disgust,#6A8F27,"106,143,39",soft,2
🦟,disgust,#6A8F27,"106,143,39",bright,5
😡,anger,#D60000,"214,0,0",clean,1
😠,anger,#E12B2B,"225,43,43",earthy,3
😃,joy,#FFD438,"255,212,56",serious,3
🧠,thinking,#9CA1AA,"156,161,170",clean,3
😆,joy,#FFD438,"255,212,56",playful,5
😖,disgust,#4A7D2D,"74,125,45",earthy,1
🥱,sleepy,#6B62A6,"107,98,166",clean,2
❤️,love,#FF5C9A,"255,92,154",earthy,5
😺,joy,#FFD438,"255,212,56",serious,4
🍂,disgust,#A8D27A,"168,210,122",playful,3
😿,sadness,#A3C4E9,"163,196,233",earthy,2
💘,love,#FF5C9A,"255,92,154",bright,2
🤬,anger,#B80000,"184,0,0",bright,3
🥺,sadness,#4A6FA5,"74,111,165",clean,5
🪹,sleepy,#A59ED9,"165,158,217",warm,5
💤,calm,#C9F4F4,"201,244,244",warm,3
☁️,calm,#7BCFCF,"123,207,207",bright,3
🧠,thinking,#D1D4DD,"209,212,221",mellow,2
💖,love,#FF7FBF,"255,127,191",earthy,5
😆,joy,#FFDF57,"255,223,87",deep,1
🧠,thinking,#9CA1AA,"156,161,170",mellow,3
🧠,thinking,#C8C8D4,"200,200,212",clean,4
✨,surprise,#FFF4B0,"255,244,176",earthy,1
📚,thinking,#C8C8D4,"200,200,212",clean,2
🔥,anger,#E12B2B,"225,43,43",clean,2
📚,thinking,#B7BBC3,"183,187,195",cold,4
🫶,calm,#7BCFCF,"123,207,207",clean,2
🥳,joy,#FFD438,"255,212,56",earthy,4
😆,joy,#FFD438,"255,212,56",mellow,5
📢,surprise,#FFF48A,"255,244,138",deep,5
😀,joy,#FFCC00,"255,204,0",soft,3
🤬,anger,#E12B2B,"225,43,43",bright,5
🎐,calm,#A5E6E6,"165,230,230",playful,1
😳,surprise,#FFF4B0,"255,244,176",earthy,1
☠️,fear,#9BB5FF,"155,181,255",clean,2
😮,surprise,#FFFACD,"255,250,205",deep,4
🤮,disgust,#6A8F27,"106,143,39",soft,5
🎉,surprise,#FFFACD,"255,250,205",cold,1
🌙,sleepy,#8A84C8,"138,132,200",clean,4
🦇,fear,#C3C9FF,"195,201,255",mellow,1
😯,surprise,#FFEB6E,"255,235,110",cold,3
😺,joy,#FFDF57,"255,223,87",cold,3
💧,sadness,#A3C4E9,"163,196,233",mellow,5
🎐,calm,#C9F4F4,"201,244,244",deep,4
🌙,sleepy,#8A84C8,"138,132,200",playful,3
😀,joy,#FFC94D,"255,201,77",earthy,1
❤️,love,#FF5C9A,"255,92,154",warm,1
🪦,fear,#7DA7FF,"125,167,255",soft,4
🪰,disgust,#6A8F27,"106,143,39",deep,3
🎉,surprise,#FFFACD,"255,250,205",clean,3
🤯,surprise,#FFEB6E,"255,235,110",warm,3
🤔,thinking,#9CA1AA,"156,161,170",bright,4
🔥,anger,#FF3D3D,"255,61,61",warm,3
🍂,disgust,#A8D27A,"168,210,122",deep,3
💧,sadness,#5F84B8,"95,132,184",playful,1
💞,love,#FF6DAA,"255,109,170",warm,3
🫠,disgust,#6A8F27,"106,143,39",mellow,5
😫,sadness,#4A6FA5,"74,111,165",cold,2
🫶,calm,#A5E6E6,"165,230,230",playful,3
🧟,fear,#9BB5FF,"155,181,255",mellow,5
🛏️,sleepy,#7C74B8,"124,116,184",bright,3
🤧,disgust,#89B44C,"137,180,76",earthy,1
🌙,sleepy,#8A84C8,"138,132,200",earthy,3
🕸️,fear,#7DA7FF,"125,167,255",mellow,5
😃,joy,#FFD438,"255,212,56",warm,1
💖,love,#FF7FBF,"255,127,191",serious,2
🪹,sleepy,#A59ED9,"165,158,217",bright,1
🦠,disgust,#A8D27A,"168,210,122",clean,1
🥺,sadness,#5F84B8,"95,132,184",cold,2
👓,thinking,#C8C8D4,"200,200,212",warm,4
🪹,sleepy,#A59ED9,"165,158,217",mellow,5
🫲,sleepy,#7C74B8,"124,116,184",warm,5
😊,joy,#FFC94D,"255,201,77",deep,1
🎐,calm,#C9F4F4,"201,244,244",earthy,4
🕸️,fear,#C3C9FF,"195,201,255",earthy,1
😰,fear,#7DA7FF,"125,167,255",cold,3
🟥,anger,#FF3D3D,"255,61,61",earthy,5
🔍,thinking,#B7BBC3,"183,187,195",warm,5
🔍,thinking,#C8C8D4,"200,200,212",warm,3
🤢,disgust,#A8D27A,"168,210,122",bright,1
😖,disgust,#4A7D2D,"74,125,45",clean,4
💫,surprise,#FFEB6E,"255,235,110",clean,2
💡,thinking,#C8C8D4,"200,200,212",earthy,2
🤢,disgust,#89B44C,"137,180,76",playful,5
😔,sadness,#4A6FA5,"74,111,165",clean,3
📘,thinking,#B7BBC3,"183,187,195",clean,4
🍂,disgust,#A8D27A,"168,210,122",bright,3
😴,sleepy,#7C74B8,"124,116,184",warm,4
🤮,disgust,#A8D27A,"168,210,122",bright,5
🪣,sadness,#4A6FA5,"74,111,165",serious,2
🌊,calm,#95E0E0,"149,224,224",clean,2
🌊,calm,#95E0E0,"149,224,224",clean,4
🌌,sleepy,#6B62A6,"107,98,166",bright,3
🥺,sadness,#A3C4E9,"163,196,233",serious,4
😳,surprise,#FFFACD,"255,250,205",playful,1
🦠,disgust,#89B44C,"137,180,76",serious,4
🫶,calm,#95E0E0,"149,224,224",warm,4
😮,surprise,#FFF4B0,"255,244,176",serious,3
🎉,surprise,#FFFACD,"255,250,205",bright,1
😖,disgust,#4A7D2D,"74,125,45",playful,2
🎉,surprise,#FFF4B0,"255,244,176",earthy,4
🤢,disgust,#89B44C,"137,180,76",serious,2
😃,joy,#FFDF57,"255,223,87",bright,3
😊,joy,#FFCC00,"255,204,0",deep,2
😨,fear,#C3C9FF,"195,201,255",mellow,1
🍂,disgust,#A8D27A,"168,210,122",clean,4
🤬,anger,#D60000,"214,0,0",playful,2
🥳,joy,#FFCC00,"255,204,0",warm,1
💎,calm,#A5E6E6,"165,230,230",soft,1
📝,thinking,#9CA1AA,"156,161,170",bright,3
🫣,disgust,#4A7D2D,"74,125,45",mellow,2
😮,surprise,#FFEB6E,"255,235,110",clean,3
🧠,thinking,#C8C8D4,"200,200,212",playful,5
🟥,anger,#FF3D3D,"255,61,61",cold,2
🟥,anger,#E12B2B,"225,43,43",warm,1
😲,surprise,#FFF48A,"255,244,138",bright,1
🤮,disgust,#6A8F27,"106,143,39",cold,1
😠,anger,#D60000,"214,0,0",bright,3
😞,sadness,#A3C4E9,"163,196,233",playful,4
🤔,thinking,#B7BBC3,"183,187,195",mellow,5
🌌,sleepy,#7C74B8,"124,116,184",deep,2
💡,thinking,#D1D4DD,"209,212,221",serious,1
🧟,fear,#C3C9FF,"195,201,255",deep,3
🥱,sleepy,#A59ED9,"165,158,217",clean,1
😁,joy,#FFC94D,"255,201,77",playful,1
😍,love,#FF4F88,"255,79,136",warm,4
🕷️,fear,#7DA7FF,"125,167,255",soft,1
🛏️,sleepy,#A59ED9,"165,158,217",soft,4
🦟,disgust,#4A7D2D,"74,125,45",soft,4
📝,thinking,#D1D4DD,"209,212,221",deep,2
😲,surprise,#FFF48A,"255,244,138",earthy,4
🦇,fear,#9BB5FF,"155,181,255",mellow,5
😫,sadness,#7BA7D9,"123,167,217",clean,4
😾,anger,#E12B2B,"225,43,43",earthy,2
🤯,surprise,#FFFACD,"255,250,205",earthy,5
💖,love,#FF7FBF,"255,127,191",deep,2
🤯,surprise,#FFFACD,"255,250,205",mellow,2
🫠,disgust,#A8D27A,"168,210,122",soft,5
😳,surprise,#FFEB6E,"255,235,110",bright,5
📢,surprise,#FFF4B0,"255,244,176",deep,3
🦠,disgust,#89B44C,"137,180,76",warm,5
🙂,joy,#FFDF57,"255,223,87",serious,1
✨,surprise,#FFF4B0,"255,244,176",earthy,4
🟥,anger,#B80000,"184,0,0",deep,2
🗯️,anger,#E12B2B,"225,43,43",bright,2
📘,thinking,#9CA1AA,"156,161,170",cold,2
🤔,thinking,#C8C8D4,"200,200,212",deep,2
🪰,disgust,#A8D27A,"168,210,122",earthy,3
🧠,thinking,#C8C8D4,"200,200,212",soft,3
🫶,calm,#A5E6E6,"165,230,230",playful,5
😱,fear,#9BB5FF,"155,181,255",soft,4
🥺,sadness,#A3C4E9,"163,196,233",deep,2
🛌,sleepy,#6B62A6,"107,98,166",serious,2
👻,fear,#7DA7FF,"125,167,255",cold,2
🧠,thinking,#B7BBC3,"183,187,195",cold,1
🎐,calm,#A5E6E6,"165,230,230",bright,2
🥰,love,#FF6DAA,"255,109,170",warm,5
🥺,sadness,#7BA7D9,"123,167,217",playful,4
🛌,sleepy,#A59ED9,"165,158,217",cold,2
😤,anger,#E12B2B,"225,43,43",deep,3
🎐,calm,#95E0E0,"149,224,224",playful,1
🫠,disgust,#A8D27A,"168,210,122",playful,4
💫,surprise,#FFFACD,"255,250,205",clean,3
🛏️,sleepy,#6B62A6,"107,98,166",deep,5
🧘,calm,#A5E6E6,"165,230,230",mellow,3
😡,anger,#B80000,"184,0,0",bright,1
🥺,sadness,#7BA7D9,"123,167,217",clean,4
💤,calm,#7BCFCF,"123,207,207",earthy,4
😯,surprise,#FFF48A,"255,244,138",playful,5
😀,joy,#FFD438,"255,212,56",serious,3
🕷️,fear,#7DA7FF,"125,167,255",earthy,1
😢,sadness,#5F84B8,"95,132,184",earthy,1
🫠,disgust,#A8D27A,"168,210,122",warm,2
💤,calm,#95E0E0,"149,224,224",playful,5
🟥,anger,#FF3D3D,"255,61,61",warm,3
🕷️,fear,#B7C8FF,"183,200,255",serious,1
🌌,sleepy,#8A84C8,"138,132,200",serious,1
🥳,joy,#FFC94D,"255,201,77",warm,4
📘,thinking,#B7BBC3,"183,187,195",warm,3
😨,fear,#7DA7FF,"125,167,255",clean,5
😞,sadness,#5F84B8,"95,132,184",bright,4
🪐,sleepy,#6B62A6,"107,98,166",deep,2
🤧,disgust,#89B44C,"137,180,76",cold,2
🗯️,anger,#D60000,"214,0,0",mellow,3
😢,sadness,#5F84B8,"95,132,184",earthy,5
💎,calm,#C9F4F4,"201,244,244",warm,2
😰,fear,#B7C8FF,"183,200,255",soft,1
🧠,thinking,#C8C8D4,"200,200,212",warm,4
🥱,sleepy,#7C74B8,"124,116,184",clean,3
🪹,sleepy,#6B62A6,"107,98,166",deep,5
😾,anger,#FF3D3D,"255,61,61",serious,2
😡,anger,#D60000,"214,0,0",cold,1
⚡,surprise,#FFF48A,"255,244,138",serious,5
🟥,anger,#E12B2B,"225,43,43",clean,4
🪣,sadness,#4A6FA5,"74,111,165",cold,1
😸,joy,#FFDF57,"255,223,87",mellow,3
🫠,disgust,#6A8F27,"106,143,39",soft,3
💘,love,#FF7FBF,"255,127,191",warm,1
🫣,disgust,#A8D27A,"168,210,122",playful,4
💖,love,#FF5C9A,"255,92,154",serious,3
✏️,thinking,#D1D4DD,"209,212,221",cold,5
😿,sadness,#5F84B8,"95,132,184",deep,3
💗,love,#FF4F88,"255,79,136",soft,2
🫶,calm,#C9F4F4,"201,244,244",bright,2
☁️,calm,#A5E6E6,"165,230,230",bright,1
🧟,fear,#7DA7FF,"125,167,255",serious,3
💭,thinking,#B7BBC3,"183,187,195",playful,5
🕸️,fear,#C3C9FF,"195,201,255",mellow,1
🤔,thinking,#B7BBC3,"183,187,195",soft,1
🦠,disgust,#89B44C,"137,180,76",playful,4
🔍,thinking,#C8C8D4,"200,200,212",warm,5
🤬,anger,#D60000,"214,0,0",playful,4
🥱,sleepy,#7C74B8,"124,116,184",playful,3
