Name,ColorGroup,Hex,R,G,B
cool froth,blue,#8694AB,134,148,171
bold garlic,green,#3F6E08,63,110,8
deep violin,blue,#C3CBEE,195,203,238
glowing strawberry,red,#A69F6A,166,159,106
dusty soil,blue,#3416AB,52,22,171
smooth blood,green,#82E059,130,224,89
ripe sky,green,#1F4627,31,70,39
dark spinach,blue,#B315B4,179,21,180
matte deer,blue,#E0ABF0,224,171,240
shiny forest,red,#5B3529,91,53,41
matte soil,blue,#0E14E0,14,20,224
bright clover,blue,#1D9BDA,29,155,218
ripe weed,blue,#545EB9,84,94,185
foggy salad,red,#853109,133,49,9
cool cotton,blue,#F152F4,241,82,244
shaded parsley,blue,#271481,39,20,129
fresh coffee,green,#086905,8,105,5
foggy snow,red,#825101,130,81,1
bold cockroach,blue,#660CAB,102,12,171
foggy gorilla,blue,#3F0064,63,0,100
ripe cello,green,#1BEC33,27,236,51
shiny fog,red,#73534C,115,83,76
dusty fog,blue,#455ECB,69,94,203
deep coal,green,#597C1C,89,124,28
foggy cherry,green,#2A7A06,42,122,6
dark strawberry,red,#B63728,182,55,40
foggy elephant,green,#65AD33,101,173,51
shaded foam,red,#CF25BE,207,37,190
ripe corn,blue,#223BDA,34,59,218
shaded cloud,blue,#174ADB,23,74,219
muted sky,green,#586D20,88,109,32
pale cockroach,red,#A30975,163,9,117
misty spinach,blue,#2C19E0,44,25,224
pale chalk,green,#27780F,39,120,15
vivid mustard,green,#31B48A,49,180,138
warm cloud,blue,#2E7EF1,46,126,241
dusty vinyl,green,#29F1E7,41,241,231
bold elephant,blue,#58066F,88,6,111
frosted cotton,green,#40F8F6,64,248,246
frosted cotton,blue,#3B5B78,59,91,120
rich sky,blue,#CC7CF5,204,124,245
pale sky,green,#6FD11A,111,209,26
dense cauliflower,blue,#9A15E1,154,21,225
foggy blood,blue,#67B9E6,103,185,230
deep dolphin,green,#4AA52D,74,165,45
cool fog,red,#C98913,201,137,19
frosted carrot,green,#80FAE5,128,250,229
raw mustard,blue,#74277E,116,39,126
pale garlic,red,#B28A94,178,138,148
frosted swan,blue,#D965E7,217,101,231
deep lettuce,green,#15F9D2,21,249,210
dark soil,red,#D93361,217,51,97
foggy coffee,red,#530541,83,5,65
frosted garlic,green,#337B5D,51,123,93
warm violin,green,#10EBE6,16,235,230
cool sea,red,#97746A,151,116,106
vivid slate,blue,#010472,1,4,114
foggy spinach,green,#32E319,50,227,25
pale blood,blue,#0D447B,13,68,123
soft cello,green,#58EDEC,88,237,236
frosted foam,green,#4CE81B,76,232,27
muted cello,red,#BE8900,190,137,0
faded sea,green,#C0EE4F,192,238,79
foggy cloud,red,#F24924,242,73,36
muted clover,red,#E4119C,228,17,156
earthy violin,blue,#2F619C,47,97,156
shaded corn,red,#C76288,199,98,136
smooth banana,red,#EE8C4A,238,140,74
vivid ash,blue,#4D405D,77,64,93
vivid coal,blue,#102448,16,36,72
dense tin,blue,#7614D1,118,20,209
faded gold,green,#7EFA78,126,250,120
faded coal,red,#DAB8D4,218,184,212
misty salad,red,#817D51,129,125,81
dark foam,blue,#254EFF,37,78,255
bright cello,red,#F5E109,245,225,9
smooth beaver,blue,#5273E2,82,115,226
muted froth,blue,#C736E9,199,54,233
misty blood,blue,#54718B,84,113,139
raw coal,green,#92E1DE,146,225,222
faded pig,red,#E36D18,227,109,24
dense spinach,green,#16F876,22,248,118
fresh lettuce,blue,#452181,69,33,129
dense garlic,red,#DC3D7F,220,61,127
shaded sky,green,#E5ED39,229,237,57
dense broccoli,green,#71F733,113,247,51
dark beaver,green,#526760,82,103,96
matte clover,blue,#D8D4E6,216,212,230
faded shadow,blue,#2F24A6,47,36,166
bold cloud,green,#1FE610,31,230,16
glowing violin,green,#69C305,105,195,5
glowing blood,blue,#0A82A9,10,130,169
glowing elephant,red,#E35A3A,227,90,58
glowing ash,red,#FA2D03,250,45,3
pale cauliflower,blue,#02499D,2,73,157
dense mustard,red,#AC5E97,172,94,151
bright spinach,green,#2FAEAB,47,174,171
earthy cello,blue,#3578FB,53,120,251
smooth coal,red,#633F46,99,63,70
frosted forest,green,#2D9F06,45,159,6
matte parsley,green,#5EAF99,94,175,153
bright soil,blue,#364D6F,54,77,111
soft pig,blue,#E02CFC,224,44,252
soft parsley,blue,#485EF7,72,94,247
bright cherry,red,#D9B2C0,217,178,192
pale blood,red,#492535,73,37,53
cool corn,blue,#5046D1,80,70,209
pale silhouette,blue,#F86EFC,248,110,252
bold fog,blue,#5B2E6A,91,46,106
ripe cotton,green,#65AE58,101,174,88
bold coal,red,#E73C14,231,60,20
vivid swan,green,#6ADB1A,106,219,26
raw forest,blue,#205CDE,32,92,222
misty cauliflower,red,#941581,148,21,129
shaded cardboard,blue,#25408B,37,64,139
pale gorilla,green,#18AB31,24,171,49
dense garlic,red,#AB932E,171,147,46
muted coffee,green,#09EC83,9,236,131
dark forest,blue,#655670,101,86,112
cool dolphin,blue,#9377EC,147,119,236
misty sky,red,#CE3340,206,51,64
bright slate,red,#B5AF23,181,175,35
fresh weed,blue,#A625FA,166,37,250
faded coal,green,#30D5D4,48,213,212
warm cherry,red,#FEAACF,254,170,207
smooth cauliflower,blue,#092123,9,33,35
dense beaver,red,#9F659D,159,101,157
dense banana,blue,#BE0CEF,190,12,239
ripe coffee,red,#E6AC2B,230,172,43
dusty sky,red,#AB256B,171,37,107
dark mustard,green,#299872,41,152,114
misty slate,green,#86997C,134,153,124
ripe chalk,blue,#7D119F,125,17,159
vivid cauliflower,blue,#9E42A7,158,66,167
smooth sea,red,#F72E18,247,46,24
cool froth,blue,#1E7AAE,30,122,174
cool cherry,red,#FEE463,254,228,99
shaded salad,red,#D9C471,217,196,113
deep snow,red,#F6EEF1,246,238,241
faded cloud,red,#8E201F,142,32,31
warm flour,red,#E24054,226,64,84
bright dolphin,green,#23AD29,35,173,41
bright cardboard,green,#18EAE3,24,234,227
muted wood,blue,#1353F6,19,83,246
faded parsley,green,#527715,82,119,21
raw cauliflower,green,#E1EB86,225,235,134
soft dolphin,green,#C0DF0D,192,223,13
bold cockroach,blue,#138BF0,19,139,240
dusty corn,green,#A6BE5A,166,190,90
rich coffee,red,#F8AA0A,248,170,10
ripe gold,blue,#AD09E4,173,9,228
glowing mud,green,#0E7B3C,14,123,60
misty crow,red,#EA4026,234,64,38
smooth strawberry,red,#B72F3D,183,47,61
ripe clover,red,#FD301F,253,48,31
faded gold,blue,#68B1EF,104,177,239
dense froth,red,#CC6BB4,204,107,180
matte coal,green,#29504B,41,80,75
earthy foam,green,#24E755,36,231,85
bright gold,red,#C647C4,198,71,196
bold silhouette,red,#F8F3CE,248,243,206
muted salad,green,#378108,55,129,8
raw corn,blue,#AF4FDE,175,79,222
bold weed,red,#C28F9A,194,143,154
misty banana,green,#BACF64,186,207,100
deep vinyl,blue,#1A55E6,26,85,230
raw crow,red,#BD1E91,189,30,145
rich fog,green,#72902B,114,144,43
frosted cloud,blue,#0E7A7E,14,122,126
fresh froth,green,#ADE2C7,173,226,199
deep blood,red,#F6B482,246,180,130
smooth violin,green,#45BD38,69,189,56
soft deer,blue,#76D8F6,118,216,246
fresh deer,blue,#AC96FF,172,150,255
glowing crow,blue,#379AC9,55,154,201
muted cardboard,red,#A6613A,166,97,58
dusty sky,red,#9D1006,157,16,6
dusty cherry,green,#3C9F3A,60,159,58
ripe silhouette,red,#FE16B1,254,22,177
raw carrot,green,#C3E274,195,226,116
muted cotton,blue,#751692,117,22,146
ripe cherry,green,#ECFD5C,236,253,92
dusty ash,green,#37F53A,55,245,58
glowing strawberry,red,#C16A96,193,106,150
shaded cloud,blue,#082C76,8,44,118
shiny garlic,blue,#7F37E8,127,55,232
foggy elephant,red,#EE4967,238,73,103
dark slate,blue,#593AF8,89,58,248
ripe cauliflower,green,#16E923,22,233,35
dense froth,green,#1EE74E,30,231,78
vivid cauliflower,green,#B8FED8,184,254,216
shaded snow,green,#4C7E25,76,126,37
bright foam,blue,#8FABAD,143,171,173
vivid fog,green,#4EEE99,78,238,153
shiny beaver,green,#3CC934,60,201,52
deep cloud,green,#63B772,99,183,114
earthy lettuce,green,#10C54B,16,197,75
pale elephant,blue,#94DFEE,148,223,238
soft froth,blue,#061761,6,23,97
dusty fog,red,#AC623A,172,98,58
pale soil,green,#46FEE8,70,254,232
rich silhouette,green,#B6E208,182,226,8
shaded coffee,red,#E12D4F,225,45,79
fresh cherry,green,#28EB75,40,235,117
frosted dolphin,blue,#6BB5D7,107,181,215
frosted gorilla,blue,#F542F6,245,66,246
matte parsley,red,#998177,153,129,119
glowing cello,blue,#ED7CF8,237,124,248
warm blood,blue,#39BBCC,57,187,204
deep pig,red,#BA6864,186,104,100
rich blood,green,#0C9191,12,145,145
shaded lettuce,green,#538519,83,133,25
muted cardboard,red,#B02686,176,38,134
warm fog,blue,#4ED2EB,78,210,235
earthy cauliflower,red,#500100,80,1,0
shaded gorilla,red,#F05EB6,240,94,182
foggy violin,blue,#E1D9FE,225,217,254
earthy soil,green,#90D989,144,217,137
muted fog,red,#EDB60B,237,182,11
matte silhouette,red,#A17284,161,114,132
cool soil,blue,#142B7D,20,43,125
muted spinach,blue,#A1ACDE,161,172,222
faded soil,red,#98648D,152,100,141
soft snow,red,#6A2859,106,40,89
dense chalk,blue,#E0AAE5,224,170,229
dusty tin,blue,#716990,113,105,144
matte mud,green,#F9FD30,249,253,48
dusty cockroach,green,#20C785,32,199,133
cool cherry,blue,#292B8B,41,43,139
deep soil,red,#F47394,244,115,148
rich coffee,red,#D87E5D,216,126,93
dark soil,red,#CE94A3,206,148,163
dark cardboard,blue,#109AB8,16,154,184
earthy dolphin,green,#07F000,7,240,0
warm fog,red,#DEC5B5,222,197,181
faded chalk,green,#5C604F,92,96,79
warm coal,blue,#C33DD4,195,61,212
glowing mud,red,#F25DDC,242,93,220
dark cloud,red,#EBBFEA,235,191,234
cool grass,blue,#7F06B6,127,6,182
cool crow,green,#204D11,32,77,17
fresh wood,green,#4F6155,79,97,85
matte vinyl,red,#EBC6B8,235,198,184
smooth gold,red,#B3905B,179,144,91
raw broccoli,red,#F489CE,244,137,206
rich cardboard,green,#39FFC4,57,255,196
matte cello,green,#2F5A23,47,90,35
pale snow,green,#47FAB5,71,250,181
dusty salad,green,#C3FA0E,195,250,14
foggy swan,blue,#4347E2,67,71,226
shiny silhouette,blue,#03B1CD,3,177,205
matte banana,green,#0F704A,15,112,74
foggy pig,green,#61FD62,97,253,98
fresh wood,green,#02F0E3,2,240,227
deep tin,red,#E4CF1D,228,207,29
pale vinyl,blue,#552FF2,85,47,242
fresh slate,blue,#3D56FA,61,86,250
vivid swan,green,#60D742,96,215,66
dense mud,red,#DA04CD,218,4,205
pale mud,blue,#273B6C,39,59,108
foggy deer,blue,#943DEE,148,61,238
matte coal,blue,#8742A1,135,66,161
bold clover,red,#BDA6B4,189,166,180
soft beaver,green,#44F42D,68,244,45
frosted sky,green,#A5E02A,165,224,42
rich forest,red,#F00E72,240,14,114
smooth carrot,red,#CF7A86,207,122,134
frosted deer,green,#8ED023,142,208,35
muted weed,green,#28F18F,40,241,143
pale mud,green,#2BFF8F,43,255,143
foggy wood,green,#269A14,38,154,20
warm garlic,blue,#E6A1F9,230,161,249
cool carrot,green,#12D32A,18,211,42
smooth spinach,green,#09EF8C,9,239,140
bold garlic,green,#13C742,19,199,66
soft lettuce,green,#608E7E,96,142,126
faded weed,blue,#0B30D9,11,48,217
muted mud,green,#6ADF49,106,223,73
warm cello,green,#31B625,49,182,37
fresh pig,green,#67A803,103,168,3
glowing parsley,blue,#3B18FE,59,24,254
vivid silhouette,blue,#ADD1FC,173,209,252
smooth cloud,blue,#5C5DE1,92,93,225
deep soil,blue,#8562D3,133,98,211
cool salad,blue,#3F4CB5,63,76,181
earthy beaver,blue,#53C4DB,83,196,219
shiny gorilla,blue,#CF0CD9,207,12,217
ripe blood,blue,#BF08C4,191,8,196
misty garlic,green,#D1F46D,209,244,109
earthy soil,red,#B0797F,176,121,127
deep crow,green,#00A86E,0,168,110
ripe flour,green,#9ECB9D,158,203,157
misty garlic,green,#49975E,73,151,94
misty gold,blue,#198198,25,129,152
matte cloud,blue,#3F0AA5,63,10,165
pale lettuce,red,#C67B57,198,123,87
vivid cloud,green,#2AEEAD,42,238,173
deep coal,blue,#484952,72,73,82
foggy banana,red,#983F0B,152,63,11
raw fog,red,#C27A3F,194,122,63
warm shadow,red,#C2AD3A,194,173,58
frosted gold,green,#639780,99,151,128
deep banana,red,#D7AA8C,215,170,140
earthy soil,blue,#5ADAF5,90,218,245
cool soil,red,#E1C467,225,196,103
rich garlic,blue,#B11DD2,177,29,210
bright cotton,green,#9EE723,158,231,35
cool mustard,green,#4DBB6A,77,187,106
raw foam,blue,#3670E3,54,112,227
smooth sky,red,#82513D,130,81,61
pale flour,red,#F5D26E,245,210,110
earthy ash,blue,#A906C4,169,6,196
warm banana,blue,#5425C7,84,37,199
dark gorilla,red,#D8264B,216,38,75
cool parsley,blue,#29364D,41,54,77
shiny violin,red,#DA326B,218,50,107
muted slate,red,#693331,105,51,49
glowing sea,green,#42AF35,66,175,53
shiny deer,green,#BAFCEC,186,252,236
deep parsley,green,#BBC086,187,192,134
vivid cauliflower,blue,#264CCF,38,76,207
matte cloud,red,#9E5110,158,81,16
smooth cauliflower,green,#67C858,103,200,88
frosted corn,blue,#CEEEF9,206,238,249
vivid mustard,green,#3DD738,61,215,56
fresh strawberry,blue,#BAC1E3,186,193,227
bright vinyl,red,#FA1975,250,25,117
dense spinach,red,#972C14,151,44,20
muted cardboard,green,#4AEA15,74,234,21
cool slate,blue,#48078D,72,7,141
dark elephant,blue,#3E54B3,62,84,179
bright weed,blue,#032585,3,37,133
foggy mud,red,#A87F86,168,127,134
pale parsley,blue,#C838EA,200,56,234
shaded grass,red,#FEA4CA,254,164,202
earthy cockroach,red,#E3AD05,227,173,5
raw strawberry,green,#3F5239,63,82,57
bold forest,red,#E9C330,233,195,48
vivid cardboard,green,#4C9F01,76,159,1
dark mustard,blue,#1717CF,23,23,207
frosted gorilla,green,#60CB4F,96,203,79
shiny wood,blue,#7749E7,119,73,231
smooth cello,blue,#9791B5,151,145,181
smooth clover,red,#D2710F,210,113,15
bright cardboard,green,#74FEDD,116,254,221
foggy mustard,red,#E5DBA4,229,219,164
smooth wood,green,#0A7D01,10,125,1
warm violin,green,#1E3D22,30,61,34
ripe cloud,green,#8DDA96,141,218,150
warm cauliflower,red,#D16434,209,100,52
dusty froth,green,#A2C488,162,196,136
fresh cotton,green,#08B52D,8,181,45
foggy mud,red,#7A0F69,122,15,105
deep pig,blue,#5244BD,82,68,189
earthy garlic,red,#E32F7B,227,47,123
dark carrot,red,#FECC60,254,204,96
foggy sky,red,#F349C4,243,73,196
dark shadow,green,#38BD92,56,189,146
dense crow,red,#DCBE34,220,190,52
warm forest,red,#7A6C48,122,108,72
deep mustard,green,#349664,52,150,100
shiny cotton,red,#C95437,201,84,55
dense foam,red,#C5B961,197,185,97
cool lettuce,green,#27F393,39,243,147
misty swan,green,#A3D587,163,213,135
raw cello,red,#CD333B,205,51,59
frosted swan,blue,#3F07D3,63,7,211
dark parsley,green,#475633,71,86,51
smooth foam,green,#1F9029,31,144,41
foggy strawberry,green,#648C0D,100,140,13
frosted chalk,red,#F9A3B3,249,163,179
smooth slate,blue,#C84EEE,200,78,238
cool coal,blue,#851C91,133,28,145
frosted sea,green,#327922,50,121,34
foggy vinyl,blue,#3E528D,62,82,141
cool sky,blue,#634CCF,99,76,207
smooth beaver,red,#87743A,135,116,58
shaded crow,blue,#9F2BE7,159,43,231
dense swan,blue,#8486E9,132,134,233
smooth blood,red,#FB7AD1,251,122,209
vivid mustard,green,#B1E7A4,177,231,164
faded corn,green,#17CB4C,23,203,76
vivid wood,red,#AD467D,173,70,125
raw tin,red,#FF992A,255,153,42
rich coffee,red,#BD7241,189,114,65
shiny wood,red,#F8429D,248,66,157
warm broccoli,green,#17BE71,23,190,113
earthy tin,green,#366254,54,98,84
fresh mud,blue,#7465CB,116,101,203
muted lettuce,blue,#0C3BA3,12,59,163
faded shadow,green,#17CA85,23,202,133
bold banana,blue,#085DAB,8,93,171
soft snow,blue,#98769B,152,118,155
bold mustard,green,#50F256,80,242,86
dense corn,red,#9E6898,158,104,152
shiny foam,red,#A8537F,168,83,127
frosted pig,red,#D1A068,209,160,104
soft gold,blue,#72B0F7,114,176,247
dark gorilla,blue,#A66AB3,166,106,179
muted coal,blue,#2725B0,39,37,176
fresh soil,green,#62685D,98,104,93
pale sea,green,#22E697,34,230,151
raw beaver,blue,#405ABC,64,90,188
dusty salad,blue,#5D54CC,93,84,204
soft froth,green,#C4D4D3,196,212,211
ripe mustard,red,#C97A8A,201,122,138
frosted broccoli,blue,#4417B6,68,23,182
muted snow,blue,#4E0AEA,78,10,234
misty banana,blue,#9826CA,152,38,202
bold broccoli,blue,#6E36D3,110,54,211
pale cockroach,blue,#41125C,65,18,92
raw carrot,red,#CE1073,206,16,115
matte sky,green,#90E881,144,232,129
shiny shadow,red,#951378,149,19,120
faded snow,green,#174408,23,68,8
raw elephant,green,#035A0D,3,90,13
ripe broccoli,green,#8FE91A,143,233,26
fresh spinach,green,#18C942,24,201,66
deep cello,blue,#585AA2,88,90,162
bold cardboard,red,#644F5B,100,79,91
frosted wood,green,#7F8F8C,127,143,140
shaded elephant,red,#C4A10E,196,161,14
bold blood,green,#D3EC9D,211,236,157
fresh tin,red,#E98844,233,136,68
earthy snow,red,#875A67,135,90,103
pale corn,blue,#13EEF0,19,238,240
warm snow,green,#09D114,9,209,20
glowing mud,blue,#E72FF2,231,47,242
glowing mustard,blue,#B50FC6,181,15,198
faded lettuce,green,#198841,25,136,65
smooth beaver,red,#F9A69B,249,166,155
matte shadow,red,#FCC4F8,252,196,248
smooth gorilla,red,#D72642,215,38,66
soft cockroach,red,#ED0E9D,237,14,157
matte elephant,blue,#96999F,150,153,159
raw dolphin,red,#C61957,198,25,87
foggy chalk,red,#B5A27D,181,162,125
glowing snow,red,#E56F40,229,111,64
cool slate,red,#817E6D,129,126,109
soft tin,green,#75FD2D,117,253,45
shaded cardboard,blue,#594376,89,67,118
soft mustard,green,#3D6947,61,105,71
faded cauliflower,green,#EDFC7E,237,252,126
frosted flour,green,#109F75,16,159,117
deep elephant,red,#7D7C73,125,124,115
rich broccoli,green,#599F5B,89,159,91
glowing swan,green,#A8AB84,168,171,132
vivid ash,green,#11694D,17,105,77
dense flour,red,#F6B3C2,246,179,194
shaded salad,blue,#6B99CE,107,153,206
pale ash,green,#23F342,35,243,66
ripe cardboard,blue,#056B95,5,107,149
raw forest,red,#EF6BC6,239,107,198
faded fog,green,#34CEAE,52,206,174
soft chalk,red,#D52723,213,39,35
frosted beaver,green,#13F097,19,240,151
glowing slate,red,#4D2F1D,77,47,29
fresh broccoli,red,#942F8D,148,47,141
deep coal,red,#DD0E04,221,14,4
faded lettuce,blue,#328D97,50,141,151
deep dolphin,blue,#158DD6,21,141,214
smooth clover,green,#77B497,119,180,151
warm cauliflower,red,#D67208,214,114,8
smooth cardboard,red,#FA2C04,250,44,4
glowing fog,blue,#888CBD,136,140,189
foggy fog,blue,#39A4BE,57,164,190
matte gold,blue,#341FF3,52,31,243
rich elephant,green,#ACB466,172,180,102
fresh mud,blue,#0B3A3B,11,58,59
bold coal,green,#9CD30E,156,211,14
shiny blood,green,#32BF84,50,191,132
misty silhouette,green,#6CCC00,108,204,0
faded forest,blue,#E8B2EC,232,178,236
dark cauliflower,red,#C91265,201,18,101
ripe tin,green,#1DA10F,29,161,15
shaded swan,red,#AD9506,173,149,6
foggy coffee,green,#60FD70,96,253,112
warm wood,red,#DB521C,219,82,28
deep dolphin,red,#CF364B,207,54,75
bright silhouette,blue,#6D91B1,109,145,177
frosted tin,green,#1A412F,26,65,47
earthy fog,blue,#74457E,116,69,126
deep garlic,green,#29B635,41,182,53
dense gold,red,#B82B3C,184,43,60
glowing crow,blue,#CF04EC,207,4,236
smooth corn,green,#98C4C3,152,196,195
deep gorilla,blue,#6A67AC,106,103,172
rich cherry,red,#A58B3C,165,139,60
faded cockroach,red,#A68B9A,166,139,154
fresh forest,green,#289C97,40,156,151
warm vinyl,red,#AF80AA,175,128,170
dusty gold,blue,#304C5D,48,76,93
dusty cardboard,green,#78D90D,120,217,13
fresh coffee,red,#F4357B,244,53,123
dusty spinach,blue,#1E109D,30,16,157
smooth strawberry,blue,#2548C1,37,72,193
fresh beaver,red,#D96F89,217,111,137
bold salad,blue,#3726B2,55,38,178
fresh slate,green,#3F9D7E,63,157,126
foggy silhouette,green,#66A512,102,165,18
pale froth,blue,#1906E3,25,6,227
rich vinyl,blue,#A613D5,166,19,213
soft dolphin,green,#9DE32C,157,227,44
dusty slate,blue,#5D39CF,93,57,207
rich dolphin,red,#6F1942,111,25,66
ripe salad,green,#B6D83D,182,216,61
deep ash,red,#B91160,185,17,96
earthy salad,blue,#33526F,51,82,111
dense blood,red,#BB0286,187,2,134
misty violin,blue,#23B4B6,35,180,182
fresh cloud,blue,#2965CC,41,101,204
